"Date";"Time";"LAFMax";"LASMax";"LCFMax";"LCSMax";"LCIMax";"LAIMax";"LAeq";"LCeq";"LZPeak";"LCPeak";"LZeq";"LAeqI";"LAPeak"
"19-08-2014";"01:33:25";"35,36";"36,16";"41,63";"46,5";"48,31";"38,83";"33,91";"35,79";"55,31";"44,11";"52,36";"38,81";"43,9"
"19-08-2014";"01:33:25.01";"35,27";"36,15";"41,38";"46,45";"48,27";"38,79";"34,06";"40,15";"55,34";"47,93";"52,27";"38,77";"43,75"
"19-08-2014";"01:33:25.02";"35,18";"36,13";"41,31";"46,43";"48,25";"38,77";"32,54";"39,88";"51,38";"46,13";"46,43";"38,75";"41,09"
"19-08-2014";"01:33:25.03";"35,04";"36,11";"41,25";"46,4";"48,22";"38,74";"33,99";"41,02";"53,25";"47,06";"45,93";"38,72";"43,09"
"19-08-2014";"01:33:25.04";"35";"36,09";"41,18";"46,36";"48,2";"38,7";"35,65";"39,36";"57,11";"46,99";"52,52";"38,68";"44,13"
"19-08-2014";"01:33:25.05";"35,04";"36,09";"41,09";"46,33";"48,18";"38,68";"35,22";"40,49";"57,18";"47,79";"54,34";"38,66";"43,84"
"19-08-2014";"01:33:25.06";"35,04";"36,08";"41,29";"46,29";"48,13";"38,65";"35,2";"43,97";"56,18";"50,11";"51,22";"38,63";"44,36"
"19-08-2014";"01:33:25.07";"35,13";"36,08";"41,45";"46,27";"48,11";"38,63";"35,47";"41,41";"52,75";"49,18";"42,58";"38,61";"43,63"
"19-08-2014";"01:33:25.08";"35,18";"36,06";"41,34";"46,25";"48,08";"38,59";"36,81";"41,59";"53,97";"49,56";"45,91";"38,58";"45,9"
"19-08-2014";"01:33:25.09";"35,95";"36,15";"41,97";"46,22";"48,06";"38,56";"40,93";"46,61";"55,47";"54,38";"46,93";"38,56";"48,27"
"19-08-2014";"01:33:25.10";"36,68";"36,25";"42,61";"46,24";"48,02";"38,65";"41,11";"46,45";"52,81";"51,95";"46,56";"38,56";"47,99"
"19-08-2014";"01:33:25.11";"36,95";"36,29";"42,79";"46,24";"48";"38,95";"38,86";"44,04";"52,13";"51";"44,38";"38,93";"46,47"
"19-08-2014";"01:33:25.12";"36,95";"36,29";"42,75";"46,22";"47,97";"38,93";"34,36";"38,5";"50,54";"47,54";"39,33";"38,91";"42,56"
"19-08-2014";"01:33:25.13";"36,77";"36,27";"42,54";"46,16";"47,95";"38,9";"33,84";"37,7";"50,58";"46,15";"43,2";"38,9";"42,33"
