"Date","Time","LAFMax","LASMax","LCFMax","LCSMax","LCIMax","LAIMax","LAeq","LCeq","LZPeak","LCPeak","LZeq","LAeqI","LAPeak"
"8/19/2014","01:33:15","34.5","35.7","50.2","49.9","50.9","34.2","34","45.2","81.3","53.8","79","33.7","45.5"
"8/19/2014","01:33:15.06","34.3","35.6","48.8","49.7","50.8","34.2","32","40","74.3","48.8","68","34.1","42.7"
"8/19/2014","01:33:15.12","35.3","35.5","47","49.5","50.6","37","37","39.9","65.9","52","62.5","35.5","47.7"
"8/19/2014","01:33:15.18","36.2","35.7","45.3","49.2","50.4","37.2","37.1","41.1","67","50.4","64.1","37.1","46.7"
"8/19/2014","01:33:15.25","36.6","35.8","44.1","49","50.2","37.7","37.3","41.3","64.1","51.2","62","37.1","47.6"
"8/19/2014","01:33:15.31","37.4","35.9","43.6","48.8","50","38.8","37.2","43","64.2","52.2","58.8","38.7","47.8"
"8/19/2014","01:33:15.37","36.8","35.9","43.1","48.6","49.9","38.7","33.5","39.7","62.5","48.8","59.3","38.6","43.7"
"8/19/2014","01:33:15.43","35.7","35.8","42.8","48.3","49.7","38.5","35.1","43.1","59.3","55.4","54.6","38.4","49.1"
"8/19/2014","01:33:15.50","35.5","35.7","43.5","48.2","49.5","38.3","32","42.6","56.7","50.9","49.9","38.2","43.5"
"8/19/2014","01:33:15.56","34.5","35.6","42.6","48","49.3","38.2","33","38.5","53.1","46.4","43.7","38.1","42.9"
"8/19/2014","01:33:15.62","34","35.5","41.3","47.7","49.1","38","30.5","35.1","52.6","43.9","45.7","37.9","43.2"
"8/19/2014","01:33:15.68","32.9","35.2","39.8","47.5","49","37.8","31.5","35.9","55.8","47.8","50.9","37.7","43.8"
"8/19/2014","01:33:15.75","32.5","35.1","38.6","47.2","48.8","37.6","31.5","36.6","56.5","48.8","47.2","37.5","42.7"
"8/19/2014","01:33:15.81","32.6","35","38.6","47","48.6","37.4","32.8","38.6","56.8","48.6","49.7","37.3","44"
"8/19/2014","01:33:15.87","33.3","34.9","38.8","46.7","48.4","37.2","34.4","39.6","55.1","49.5","47.2","37.2","45.6"
"8/19/2014","01:33:15.93","34.4","34.9","40","46.5","48.2","37.1","35.5","41.5","54.8","52.1","48.1","37","46.7"
