"Type","Value"
"Time","8/19/2014 1:31:53 AM "
"Duration","00:00:12 "
"LAFMax","44.7 dB"
"LCFMax","52.7 dB"
"LZFMax","81.1 dB"
"LASMax","37.8 dB"
"LCSMax","46.1 dB"
"LZSMax","74.4 dB"
"LAIMax","49.3 dB"
"LCIMax","56.9 dB"
"LZIMax","83.3 dB"
"LAFMin","30.2 dB"
"LCFMin","35.8 dB"
"LZFMin","42.0 dB"
"LASMin","33.2 dB"
"LCSMin","38.8 dB"
"LZSMin","44.8 dB"
"LAIMin","33.3 dB"
"LCIMin","39.6 dB"
"LZIMin","49.2 dB"
"LAF1","41.2 dB"
"LAF5","38.1 dB"
"LAF10","37.5 dB"
"LAF50","34.5 dB"
"LAF90","32.1 dB"
"LAF95","31.0 dB"
"LAF99","30.5 dB"
"LAeq","35.4 dB"
"LCeq","42.2 dB"
"LZeq","64.8 dB"
"LAeqI","41.5 dB"
"LCPeak","66.2 dB"
"LZPeak","84.3 dB"
"LAPeak","66.3 dB"
"LAIT3eq","44.7 dB"
"LAIT5eq","48.1 dB"
"LAFT3eq","40.9 dB"
"LAFT5eq","42.9 dB"
"31.5Hz","36.6 dB"
"63Hz","31.5 dB"
"125Hz","27.3 dB"
"250Hz","34.6 dB"
"500Hz","35.1 dB"
"1kHz","31.3 dB"
"2kHz","26.4 dB"
"4kHz","18.1 dB"
"8kHz","18.6 dB"
"16kHz","23.6 dB"
"6.3Hz","45.4 dB"
"8Hz","42.4 dB"
"10Hz","44.3 dB"
"12.5Hz","40.1 dB"
"16Hz","40.2 dB"
"20Hz","36.2 dB"
"25Hz","33.6 dB"
"31.5Hz","31.4 dB"
"40Hz","27.4 dB"
"50Hz","28.1 dB"
"63Hz","24.5 dB"
"80Hz","25.9 dB"
"100Hz","23.9 dB"
"125Hz","20.5 dB"
"160Hz","21.4 dB"
"200Hz","23.1 dB"
"250Hz","25.1 dB"
"315Hz","33.3 dB"
"400Hz","32.9 dB"
"500Hz","29.2 dB"
"630Hz","23.3 dB"
"800Hz","28.5 dB"
"1kHz","25.5 dB"
"1.25kHz","22.1 dB"
"1.6kHz","24.6 dB"
"2kHz","18.9 dB"
"2.5kHz","15.6 dB"
"3.15kHz","14.1 dB"
"4kHz","12.4 dB"
"5kHz","12.3 dB"
"6.3kHz","13.1 dB"
"8kHz","13.8 dB"
"10kHz","13.6 dB"
"12.5kHz","15.4 dB"
"16kHz","17.6 dB"
"20kHz","20.9 dB"
