"Type";"Value"
"Time";"19-08-2014 1:31:53 "
"Duration";"00:00:12 "
"LAFMax";"44,66 dB"
"LCFMax";"52,71 dB"
"LZFMax";"81,13 dB"
"LASMax";"37,85 dB"
"LCSMax";"46,06 dB"
"LZSMax";"74,37 dB"
"LAIMax";"49,3 dB"
"LCIMax";"56,93 dB"
"LZIMax";"83,27 dB"
"LAFMin";"30,16 dB"
"LCFMin";"35,75 dB"
"LZFMin";"42,0 dB"
"LASMin";"33,15 dB"
"LCSMin";"38,79 dB"
"LZSMin";"44,76 dB"
"LAIMin";"33,29 dB"
"LCIMin";"39,63 dB"
"LZIMin";"49,17 dB"
"LAF1";"41,2 dB"
"LAF5";"38,1 dB"
"LAF10";"37,5 dB"
"LAF50";"34,5 dB"
"LAF90";"32,1 dB"
"LAF95";"31,0 dB"
"LAF99";"30,5 dB"
"LAeq";"35,37 dB"
"LCeq";"42,18 dB"
"LZeq";"64,83 dB"
"LAeqI";"41,46 dB"
"LCPeak";"66,15 dB"
"LZPeak";"84,26 dB"
"LAPeak";"66,32 dB"
"LAIT3eq";"44,74 dB"
"LAIT5eq";"48,07 dB"
"LAFT3eq";"40,86 dB"
"LAFT5eq";"42,88 dB"
"31.5Hz";"36,57 dB"
"63Hz";"31,52 dB"
"125Hz";"27,28 dB"
"250Hz";"34,58 dB"
"500Hz";"35,07 dB"
"1kHz";"31,26 dB"
"2kHz";"26,35 dB"
"4kHz";"18,1 dB"
"8kHz";"18,63 dB"
"16kHz";"23,62 dB"
"6.3Hz3";"45,37 dB"
"8Hz3";"42,44 dB"
"10Hz3";"44,33 dB"
"12.5Hz3";"40,11 dB"
"16Hz3";"40,17 dB"
"20Hz3";"36,21 dB"
"25Hz3";"33,61 dB"
"31.5Hz3";"31,35 dB"
"40Hz3";"27,41 dB"
"50Hz3";"28,1 dB"
"63Hz3";"24,5 dB"
"80Hz3";"25,86 dB"
"100Hz3";"23,93 dB"
"125Hz3";"20,47 dB"
"160Hz3";"21,36 dB"
"200Hz3";"23,15 dB"
"250Hz3";"25,13 dB"
"315Hz3";"33,28 dB"
"400Hz3";"32,86 dB"
"500Hz3";"29,19 dB"
"630Hz3";"23,31 dB"
"800Hz3";"28,55 dB"
"1KHz3";"25,55 dB"
"1.25KHz3";"22,12 dB"
"1.6KHz3";"24,56 dB"
"2KHz3";"18,9 dB"
"2.5KHz3";"15,58 dB"
"3.15KHz3";"14,09 dB"
"4KHz3";"12,39 dB"
"5KHz3";"12,27 dB"
"6.3KHz3";"13,14 dB"
"8KHz3";"13,79 dB"
"10KHz3";"13,62 dB"
"12.5KHz3";"15,4 dB"
"16KHz3";"17,57 dB"
"20KHz3";"20,86 dB"
