"Date";"Time";"31.5Hz";"63Hz";"125Hz";"250Hz";"500Hz";"1kHz";"2kHz";"4kHz";"8kHz";"16kHz"
"19-08-2014";"01:33:25";"34,6";"28,2";"28,8";"25,8";"24,4";"30,5";"23,2";"21,5";"18,9";"23,8"
"19-08-2014";"01:33:25.06";"38,9";"24,4";"25,5";"27,3";"32,2";"32,6";"24,1";"21,9";"18,9";"23,6"
"19-08-2014";"01:33:25.12";"37,1";"25,7";"23,8";"38,6";"40,6";"31,6";"25,6";"21,5";"18,5";"23,3"
"19-08-2014";"01:33:25.18";"32,7";"23,6";"26,1";"33,7";"33,3";"31";"24,9";"21,5";"19,2";"23,4"
"19-08-2014";"01:33:25.25";"31,1";"21,5";"25";"26,4";"29,8";"33,2";"27,4";"24";"19,2";"23,8"
"19-08-2014";"01:33:25.31";"29";"22,3";"22,5";"27,7";"30,4";"30,4";"24,4";"23,3";"18,6";"23,7"
"19-08-2014";"01:33:25.37";"29,4";"26,6";"26,2";"24,4";"21,2";"31,5";"24,5";"22,8";"18,2";"23,6"
"19-08-2014";"01:33:25.43";"28,7";"26,3";"26,7";"44,2";"31,9";"30,5";"26,7";"24,2";"18,2";"23,8"
"19-08-2014";"01:33:25.50";"27,4";"23,1";"31";"45,9";"38,6";"30,3";"27,1";"23,9";"18,5";"23,5"
"19-08-2014";"01:33:25.56";"25,9";"22,7";"29";"44,2";"34,7";"30,4";"25,2";"22,2";"19,6";"23,9"
"19-08-2014";"01:33:25.62";"28,1";"24,1";"26,1";"37,7";"25";"30,5";"23,2";"21,9";"19,4";"23,6"
"19-08-2014";"01:33:25.68";"29,6";"24,1";"24,9";"37";"32,5";"31,9";"23,6";"21,3";"19,4";"23,7"
"19-08-2014";"01:33:25.75";"31,2";"22";"26,8";"37,8";"34,4";"31,1";"24,1";"21,3";"18,3";"23,5"
"19-08-2014";"01:33:25.81";"31,2";"20,8";"28,2";"39,2";"34,3";"30,3";"23,4";"19,7";"18,3";"23,7"
"19-08-2014";"01:33:25.87";"29,2";"23,9";"26";"35,6";"30,9";"28,6";"25,2";"20";"17,7";"23,5"
"19-08-2014";"01:33:25.93";"31,4";"25,8";"22,6";"28";"35,3";"31";"24,8";"23,9";"18,8";"23,5"
"19-08-2014";"01:33:26";"32,8";"27,8";"25,3";"29";"36,2";"30";"25,1";"24";"19";"23,8"
"19-08-2014";"01:33:26.06";"34,4";"24,4";"26,8";"22,3";"23";"30,2";"22,9";"22,3";"18,4";"23,4"
"19-08-2014";"01:33:26.12";"34,1";"24";"25,3";"32,7";"40,2";"30,7";"24,3";"22";"18,3";"23,9"
"19-08-2014";"01:33:26.18";"34";"33,4";"28,9";"31,5";"41,7";"29,6";"24,8";"21,5";"18,4";"23,4"
"19-08-2014";"01:33:26.25";"33,9";"38";"28,2";"42,4";"37";"29,1";"25,7";"22,4";"18,2";"23,3"
"19-08-2014";"01:33:26.31";"42,7";"35,2";"25,2";"42,2";"38";"31,7";"23,1";"21,9";"19,7";"23,6"
"19-08-2014";"01:33:26.37";"48,1";"33,3";"27";"42,1";"41,6";"32,6";"24";"21,9";"19,7";"23,7"
"19-08-2014";"01:33:26.43";"48,2";"27,6";"21,7";"35,3";"35,5";"29,1";"22,1";"19,8";"19,2";"23,7"
"19-08-2014";"01:33:26.50";"43,8";"28,5";"24,5";"26,1";"27,4";"28,4";"24,5";"21";"18,1";"23,5"
"19-08-2014";"01:33:26.56";"42";"26,6";"23,6";"24,8";"20,9";"29,3";"24,5";"19,9";"17,4";"23,7"
"19-08-2014";"01:33:26.62";"40,8";"23,1";"23,9";"18,5";"20,6";"30,8";"23,8";"22,7";"19,1";"23,8"
"19-08-2014";"01:33:26.68";"33,6";"24,2";"23,9";"22,1";"18,3";"29,3";"25,1";"22,7";"19,9";"23,9"
"19-08-2014";"01:33:26.75";"29";"26,2";"23";"21,6";"20,7";"29,9";"25,4";"21,1";"18,7";"23,8"
"19-08-2014";"01:33:26.81";"30,5";"26";"24,2";"21,5";"18,2";"28,8";"24,7";"20,6";"18";"23,7"
"19-08-2014";"01:33:26.87";"37,4";"25,2";"22,6";"19,7";"19,5";"30,6";"24,2";"22,5";"17,8";"24"
"19-08-2014";"01:33:26.93";"41,2";"26,5";"22,8";"20";"19";"30,1";"26,4";"21,8";"18,2";"23,8"
"19-08-2014";"01:33:27";"39,4";"23,1";"26,8";"25,1";"37,8";"36";"27,8";"22,5";"20,2";"23,3"
"19-08-2014";"01:33:27.06";"36,3";"27,1";"25,3";"27,9";"44";"31,9";"26,1";"22,9";"20,1";"23,8"
"19-08-2014";"01:33:27.12";"37,7";"23,6";"26,4";"28";"30,7";"30,1";"24,4";"21,6";"18,8";"23,8"
"19-08-2014";"01:33:27.18";"33,6";"21,9";"22,4";"24,8";"23";"29,7";"23,3";"21,5";"18,5";"23,8"
"19-08-2014";"01:33:27.25";"34,5";"23,2";"23,3";"29,6";"39,9";"30";"24";"20,7";"18,9";"23,5"
"19-08-2014";"01:33:27.31";"39,8";"22,7";"21,7";"25";"37,8";"28,6";"23,8";"20";"18,5";"23,5"
