"Date","Time","31.5Hz","63Hz","125Hz","250Hz","500Hz","1kHz","2kHz","4kHz","8kHz","16kHz"
"8/19/2014","01:32:36","27.14","23.82","26.42","33.65","37.31","30.23","23.09","19.11","19.34","23.7"
"8/19/2014","01:32:36.50","28.19","22.08","27.24","32.22","33.09","31.02","23.73","19.4","20.8","23.56"
"8/19/2014","01:32:37","27.51","25.55","27.39","30.77","34.03","30.48","23.93","20.03","17.92","23.57"
"8/19/2014","01:32:37.50","32.7","24.76","29.13","40.72","36.01","30.59","25.06","19.47","18.15","23.57"
"8/19/2014","01:32:38","27.76","22.69","25.84","32.67","36.32","31.01","24.8","19.88","18.05","23.57"
"8/19/2014","01:32:38.50","28.93","23.01","23.97","30.41","32.1","31.31","26.71","18.7","18.02","23.59"
"8/19/2014","01:32:39","28.25","24.5","25.4","35.83","35.5","31.03","23.11","18.95","18.33","23.68"
"8/19/2014","01:32:39.50","28.81","35.4","31.93","32.17","33.95","32.15","24.69","18.81","18.32","23.68"
"8/19/2014","01:32:40","40.51","29.73","27.83","37.23","37.91","31.47","23.97","18.3","18.02","23.65"
"8/19/2014","01:32:40.50","35.64","28.46","26.04","30.87","36.58","30.38","24.1","18.49","18.15","23.59"
"8/19/2014","01:32:41","34.18","26.24","25.97","37.14","37.77","29.98","23.56","19.68","18.33","23.62"
