"Date","Time","6.3Hz","8Hz","10Hz","12.5Hz","16Hz","20Hz","25Hz","31.5Hz","40Hz","50Hz","63Hz","80Hz","100Hz","125Hz","160Hz","200Hz","250Hz","315Hz","400Hz","500Hz","630Hz","800Hz","1kHz","1.25kHz","1.6kHz","2kHz","2.5kHz","3.15kHz","4kHz","5kHz","6.3kHz","8kHz","10kHz","12.5kHz","16kHz","20kHz"
"8/19/2014","01:33:25","57.01","54.14","39.2","38.21","30.31","27.5","29.26","29.25","29.88","21.18","25.72","20.33","24.93","18.01","25.1","12.84","16.73","24.54","17.43","21.44","17.66","27.64","25.47","19.83","20.18","17.49","15.17","16.15","15.13","17.59","14.57","12.81","13.78","15.53","17.71","21.02"
"8/19/2014","01:33:25.06","57.74","52.6","33.13","40.06","24.23","30.39","32.93","36.33","29.96","20.87","16.96","19.22","24.67","9.96","14.42","19.23","15.11","25.84","31.65","16.82","14.34","31.14","24.79","18.93","19.67","19.83","17.09","16.9","15.53","17.71","14.52","13.22","13.56","15.45","17.74","20.79"
"8/19/2014","01:33:25.12","57.75","50.51","15.93","39.41","31.28","32.13","31.14","35.27","19.86","23.71","15.28","18.68","21.96","9.99","17.52","28.31","12.12","37.78","40.17","22.64","19.19","29.54","25.58","19.83","19.9","20.73","20.83","17.02","13.88","17.47","13.94","12.53","13.59","15.56","16.7","20.56"
"8/19/2014","01:33:25.18","54.92","47.75","24.93","38.5","37.37","37.77","29.85","28.72","7.15","17.46","15.24","20.91","22.86","16.64","21.38","20.03","16.24","33.06","32.08","25.23","17.56","28.12","25.94","21.13","20","21.35","17.17","14.26","13.74","19.13","15.31","13.08","13.65","15.04","17.41","20.67"
"8/19/2014","01:33:25.25","48.43","45","31.09","34.52","41.24","38.15","30.57","15.2","14.34","17.11","17.02","14.52","21.58","20.72","15.2","13.53","18.84","24.88","23.32","23.92","26.22","31.08","27.43","20.66","24.5","21.93","18.29","14.74","15.81","22.17","15.34","12.59","13.94","15.72","17.65","20.98"
"8/19/2014","01:33:25.31","52.04","39.57","34.18","29.1","43.36","34.15","27.55","21.83","9.23","18.81","16.71","15.33","19.38","17.16","13.95","18.76","21.83","25.02","25.35","26.47","23.68","27.5","25.13","20.96","20.98","18","18.09","16.99","17.79","19.47","13.64","12.8","13.95","15.19","17.72","20.98"
"8/19/2014","01:33:25.37","46.73","33.96","36.41","34.5","44.23","22.26","26.43","24.85","18.18","25.02","17.78","16.34","24.75","18.4","12.03","19.2","20.1","18.59","18.45","14.34","13.93","29.82","23.29","20.82","21.3","19.24","16.57","17.46","17.64","17.95","13.38","12.86","13.08","15.83","17.43","20.85"
"8/19/2014","01:33:25.43","42.75","35.03","35.77","38.47","44.58","27.6","25.66","20.34","23.11","24.09","19.52","16.81","22.05","18.71","23.08","12.76","25.36","43.78","30.88","20.72","19.76","28.64","23.37","19.86","20.1","18.11","24.28","20.86","18.55","17.32","12.67","13.03","13.64","15.37","17.47","21.13"
"8/19/2014","01:33:25.50","45.31","38.96","39.32","33.98","45.92","33.51","20.13","21.6","24.2","21.08","9.82","17.19","22.37","16.57","29.83","20.76","23.34","45.54","35.27","35.1","22.67","25.15","26.74","23.06","20.08","20.62","24.05","20.18","18.96","16.35","13.75","12.9","13.66","15.21","17.61","20.76"
"8/19/2014","01:33:25.56","43.24","41.24","40.16","27.2","46.02","35.75","18.36","17.96","23.54","17.89","18.93","14.96","23.35","14.23","26.94","19.23","28.44","43.74","31.44","30.85","20.25","27.04","25.92","20.39","19.24","18.93","21.56","15.41","14.52","19.55","15.35","14.1","13.82","15.91","17.9","20.97"
"8/19/2014","01:33:25.62","43.1","42.41","38.04","36.33","45.4","38.53","27.4","13.81","14.18","17.89","19.9","18.91","22.57","14.67","22.31","20.17","29.23","36.6","22.26","18.49","17.14","26.82","26.2","21.31","18.08","16.97","19.08","15.08","15.33","18.96","14.94","14.01","13.82","15.73","17.52","20.83"
"8/19/2014","01:33:25.68","45.51","42.98","39.65","38.04","43.27","37.88","28.27","19.67","18.61","15.47","19.11","20.76","23.6","12.24","16.21","17.9","21.88","36.42","25.2","30.39","23.27","28.51","28.08","18.34","18.81","16.96","19.51","15.75","16.5","16.36","14.37","14.23","14.23","15.74","17.88","20.7"
"8/19/2014","01:33:25.75","44.46","43.26","38.16","38.23","40.5","35.03","29.05","25.94","14.15","15","15.51","19.01","21.83","13.93","24.29","20.83","17.59","37.31","30.9","30.63","22.81","28","26.1","21.95","19.04","17.81","19.79","16.77","16.32","15.52","13.21","12.67","13.62","15.65","17.53","20.48"
