"Date";"Time";"6.3Hz";"8Hz";"10Hz";"12.5Hz";"16Hz";"20Hz";"25Hz";"31.5Hz";"40Hz";"50Hz";"63Hz";"80Hz";"100Hz";"125Hz";"160Hz";"200Hz";"250Hz";"315Hz";"400Hz";"500Hz";"630Hz";"800Hz";"1kHz";"1.25kHz";"1.6kHz";"2kHz";"2.5kHz";"3.15kHz";"4kHz";"5kHz";"6.3kHz";"8kHz";"10kHz";"12.5kHz";"16kHz";"20kHz"
"19-08-2014";"01:33:25";"57";"54,1";"39,2";"38,2";"30,3";"27,5";"29,3";"29,2";"29,9";"21,2";"25,7";"20,3";"24,9";"18";"25,1";"12,8";"16,7";"24,5";"17,4";"21,4";"17,7";"27,6";"25,5";"19,8";"20,2";"17,5";"15,2";"16,1";"15,1";"17,6";"14,6";"12,8";"13,8";"15,5";"17,7";"21"
"19-08-2014";"01:33:25.06";"57,7";"52,6";"33,1";"40,1";"24,2";"30,4";"32,9";"36,3";"30";"20,9";"17";"19,2";"24,7";"10";"14,4";"19,2";"15,1";"25,8";"31,6";"16,8";"14,3";"31,1";"24,8";"18,9";"19,7";"19,8";"17,1";"16,9";"15,5";"17,7";"14,5";"13,2";"13,6";"15,4";"17,7";"20,8"
"19-08-2014";"01:33:25.12";"57,8";"50,5";"15,9";"39,4";"31,3";"32,1";"31,1";"35,3";"19,9";"23,7";"15,3";"18,7";"22";"10";"17,5";"28,3";"12,1";"37,8";"40,2";"22,6";"19,2";"29,5";"25,6";"19,8";"19,9";"20,7";"20,8";"17";"13,9";"17,5";"13,9";"12,5";"13,6";"15,6";"16,7";"20,6"
"19-08-2014";"01:33:25.18";"54,9";"47,8";"24,9";"38,5";"37,4";"37,8";"29,9";"28,7";"7,2";"17,5";"15,2";"20,9";"22,9";"16,6";"21,4";"20";"16,2";"33,1";"32,1";"25,2";"17,6";"28,1";"25,9";"21,1";"20";"21,4";"17,2";"14,3";"13,7";"19,1";"15,3";"13,1";"13,6";"15";"17,4";"20,7"
"19-08-2014";"01:33:25.25";"48,4";"45";"31,1";"34,5";"41,2";"38,2";"30,6";"15,2";"14,3";"17,1";"17";"14,5";"21,6";"20,7";"15,2";"13,5";"18,8";"24,9";"23,3";"23,9";"26,2";"31,1";"27,4";"20,7";"24,5";"21,9";"18,3";"14,7";"15,8";"22,2";"15,3";"12,6";"13,9";"15,7";"17,6";"21"
"19-08-2014";"01:33:25.31";"52";"39,6";"34,2";"29,1";"43,4";"34,2";"27,5";"21,8";"9,2";"18,8";"16,7";"15,3";"19,4";"17,2";"13,9";"18,8";"21,8";"25";"25,4";"26,5";"23,7";"27,5";"25,1";"21";"21";"18";"18,1";"17";"17,8";"19,5";"13,6";"12,8";"13,9";"15,2";"17,7";"21"
"19-08-2014";"01:33:25.37";"46,7";"34";"36,4";"34,5";"44,2";"22,3";"26,4";"24,9";"18,2";"25";"17,8";"16,3";"24,8";"18,4";"12";"19,2";"20,1";"18,6";"18,5";"14,3";"13,9";"29,8";"23,3";"20,8";"21,3";"19,2";"16,6";"17,5";"17,6";"18";"13,4";"12,9";"13,1";"15,8";"17,4";"20,9"
"19-08-2014";"01:33:25.43";"42,8";"35";"35,8";"38,5";"44,6";"27,6";"25,7";"20,3";"23,1";"24,1";"19,5";"16,8";"22";"18,7";"23,1";"12,8";"25,4";"43,8";"30,9";"20,7";"19,8";"28,6";"23,4";"19,9";"20,1";"18,1";"24,3";"20,9";"18,5";"17,3";"12,7";"13";"13,6";"15,4";"17,5";"21,1"
"19-08-2014";"01:33:25.50";"45,3";"39";"39,3";"34";"45,9";"33,5";"20,1";"21,6";"24,2";"21,1";"9,8";"17,2";"22,4";"16,6";"29,8";"20,8";"23,3";"45,5";"35,3";"35,1";"22,7";"25,1";"26,7";"23,1";"20,1";"20,6";"24";"20,2";"19";"16,4";"13,8";"12,9";"13,7";"15,2";"17,6";"20,8"
"19-08-2014";"01:33:25.56";"43,2";"41,2";"40,2";"27,2";"46";"35,8";"18,4";"18";"23,5";"17,9";"18,9";"15";"23,4";"14,2";"26,9";"19,2";"28,4";"43,7";"31,4";"30,9";"20,2";"27";"25,9";"20,4";"19,2";"18,9";"21,6";"15,4";"14,5";"19,5";"15,4";"14,1";"13,8";"15,9";"17,9";"21"
