"Band";"Value";"A"
"6.3Hz";"45,37 dB";"-40,03 dB"
"8Hz";"42,44 dB";"-35,16 dB"
"10Hz";"44,33 dB";"-26,07 dB"
"12.5Hz";"40,11 dB";"-23,29 dB"
"16Hz";"40,17 dB";"-16,53 dB"
"20Hz";"36,21 dB";"-14,29 dB"
"25Hz";"33,61 dB";"-11,09 dB"
"31.5Hz";"31,35 dB";"-8,05 dB"
"40Hz";"27,41 dB";"-7,19 dB"
"50Hz";"28,1 dB";"-2,1 dB"
"63Hz";"24,5 dB";"-1,7 dB"
"80Hz";"25,86 dB";"3,36 dB"
"100Hz";"23,93 dB";"4,83 dB"
"125Hz";"20,47 dB";"4,37 dB"
"160Hz";"21,36 dB";"7,96 dB"
"200Hz";"23,15 dB";"12,25 dB"
"250Hz";"25,13 dB";"16,53 dB"
"315Hz";"33,28 dB";"26,68 dB"
"400Hz";"32,86 dB";"28,06 dB"
"500Hz";"29,19 dB";"25,99 dB"
"630Hz";"23,31 dB";"21,41 dB"
"800Hz";"28,55 dB";"27,75 dB"
"1kHz";"25,55 dB";"25,55 dB"
"1.25kHz";"22,12 dB";"22,72 dB"
"1.6kHz";"24,56 dB";"25,56 dB"
"2kHz";"18,9 dB";"20,1 dB"
"2.5kHz";"15,58 dB";"16,88 dB"
"3.15kHz";"14,09 dB";"15,29 dB"
"4kHz";"12,39 dB";"13,39 dB"
"5kHz";"12,27 dB";"12,77 dB"
"6.3kHz";"13,14 dB";"13,04 dB"
"8kHz";"13,79 dB";"12,69 dB"
"10kHz";"13,62 dB";"11,12 dB"
"12.5kHz";"15,4 dB";"11,1 dB"
"16kHz";"17,57 dB";"10,97 dB"
"20kHz";"20,86 dB";"11,56 dB"
