"Band","Value","A","C"
"6.3Hz","49.44 dB","-35.96 dB","28.14 dB"
"8Hz","39.63 dB","-37.97 dB","20.03 dB"
"10Hz","50.69 dB","-19.71 dB","36.39 dB"
"12.5Hz","44.41 dB","-18.99 dB","33.21 dB"
"16Hz","42.89 dB","-13.81 dB","34.39 dB"
"20Hz","40.7 dB","-9.8 dB","34.5 dB"
"25Hz","34.1 dB","-10.6 dB","29.7 dB"
"31.5Hz","30.62 dB","-8.78 dB","27.62 dB"
"40Hz","28.26 dB","-6.34 dB","26.26 dB"
"50Hz","27.49 dB","-2.71 dB","26.19 dB"
"63Hz","27.53 dB","1.33 dB","26.73 dB"
"80Hz","25.55 dB","3.05 dB","25.05 dB"
"100Hz","24.79 dB","5.69 dB","24.49 dB"
"125Hz","20.36 dB","4.26 dB","20.16 dB"
"160Hz","23.58 dB","10.18 dB","23.48 dB"
"200Hz","25.01 dB","14.11 dB","25.01 dB"
"250Hz","24.66 dB","16.06 dB","24.66 dB"
"315Hz","33.3 dB","26.7 dB","33.3 dB"
"400Hz","32.32 dB","27.52 dB","32.32 dB"
"500Hz","29.4 dB","26.2 dB","29.4 dB"
"630Hz","25.93 dB","24.03 dB","25.93 dB"
"800Hz","28.36 dB","27.56 dB","28.36 dB"
"1kHz","25.0 dB","25.0 dB","25.0 dB"
"1.25kHz","21.09 dB","21.69 dB","21.09 dB"
"1.6kHz","21.68 dB","22.68 dB","21.58 dB"
"2kHz","18.37 dB","19.57 dB","18.17 dB"
"2.5kHz","14.48 dB","15.78 dB","14.18 dB"
"3.15kHz","12.81 dB","14.01 dB","12.31 dB"
"4kHz","11.84 dB","12.84 dB","11.04 dB"
"5kHz","12.19 dB","12.69 dB","10.89 dB"
"6.3kHz","13.29 dB","13.19 dB","11.29 dB"
"8kHz","12.79 dB","11.69 dB","9.79 dB"
"10kHz","13.64 dB","11.14 dB","9.24 dB"
"12.5kHz","15.34 dB","11.04 dB","9.14 dB"
"16kHz","17.55 dB","10.95 dB","9.05 dB"
"20kHz","20.83 dB","11.53 dB","9.63 dB"
